No,mock_Exception,in_AppSettingsJson,in_InitializeSqlList,expected_TargetTableDataSet,expected_NonTargetTableDataSet,expected_ExistLogMessages,expected_NotExistLogMessages,Remarks
"018","","TestData\AppSettings_005.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.018","TestData\expected.all","TestData\expected.018\exist_logs.txt","TestData\expected.018\not_exist_logs.txt","値が負の数"
"019","","TestData\AppSettings_006.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.019","TestData\expected.all","TestData\expected.019\exist_logs.txt","TestData\expected.019\not_exist_logs.txt","値が0"
"020","","TestData\AppSettings_007.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.020","TestData\expected.all","TestData\expected.020\exist_logs.txt","TestData\expected.020\not_exist_logs.txt","値が文字列"
"021","","TestData\AppSettings_008.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.021","TestData\expected.all","TestData\expected.021\exist_logs.txt","TestData\expected.021\not_exist_logs.txt","値が16進数表記"
"022","","TestData\AppSettings_009.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.022","TestData\expected.all","TestData\expected.022\exist_logs.txt","TestData\expected.022\not_exist_logs.txt","値が空文字"
"023","","TestData\AppSettings_010.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.023","TestData\expected.all","TestData\expected.023\exist_logs.txt","TestData\expected.023\not_exist_logs.txt","アンダーバーがない場合対象外"
"024","","TestData\AppSettings_012.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.024","TestData\expected.all","TestData\expected.024\exist_logs.txt","TestData\expected.024\not_exist_logs.txt","想定する対象テーブル以外のテーブルについては削除対象外"
"025","System.Exception","TestData\AppSettings_001.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.025","TestData\expected.all","TestData\expected.025\exist_logs.txt","TestData\expected.025\not_exist_logs.txt","想定外エラー"
"026","","TestData\AppSettings_011.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_004.sql","TestData\expected.026","TestData\expected.all","TestData\expected.026\exist_logs.txt","TestData\expected.026\not_exist_logs.txt","DBエラー"
"027","","TestData\AppSettings_013.json","TestData\SQL_DBCleaner_in(削除対象外)_001.sql,TestData\SQL_DBCleaner_in_001.sql,TestData\SQL_DBCleaner_in_002.sql,TestData\SQL_DBCleaner_in_004.sql,TestData\SQL_DBCleaner_in_005.sql","TestData\expected.027","TestData\expected.all","TestData\expected.027\exist_logs.txt","TestData\expected.027\not_exist_logs.txt","DB削除エラー時、エラーコードを出力して処理を続行する"
