No,in_InitializeSqlSet,in_Message,expected_TableData,expected_FailureBlobFileSet,expected_LogMessages,expected_WithoutError,in_AppSettings,error_Method,remarks
20,TestData\DispatchDiskDrive\020\initial.SQL,TestData\DispatchDiskDrive\020\input.message.json,TestData\DispatchDiskDrive\020\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\020\expected.FailureBlob,TestData\DispatchDiskDrive\020\expected.logs.txt,,,,
21,TestData\DispatchDiskDrive\021\initial.SQL,TestData\DispatchDiskDrive\021\input.message.json,TestData\DispatchDiskDrive\021\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\021\expected.FailureBlob,TestData\DispatchDiskDrive\021\expected.logs.txt,,,,
22,TestData\DispatchDiskDrive\022\initial.SQL,TestData\DispatchDiskDrive\022\input.message.json,TestData\DispatchDiskDrive\022\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\022\expected.FailureBlob,TestData\DispatchDiskDrive\022\expected.logs.txt,,,,
23,TestData\DispatchDiskDrive\023\initial.SQL,TestData\DispatchDiskDrive\023\input.message.json,TestData\DispatchDiskDrive\023\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\023\expected.FailureBlob,TestData\DispatchDiskDrive\023\expected.logs.txt,,,,
24,TestData\DispatchDiskDrive\024\initial.SQL,TestData\DispatchDiskDrive\024\input.message.json,TestData\DispatchDiskDrive\024\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\024\expected.FailureBlob,TestData\DispatchDiskDrive\024\expected.logs.txt,,,,
25,TestData\DispatchDiskDrive\025\initial.SQL,TestData\DispatchDiskDrive\025\input.message.json,TestData\DispatchDiskDrive\025\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\025\expected.FailureBlob,TestData\DispatchDiskDrive\025\expected.logs.txt,,,,
26,TestData\DispatchDiskDrive\026\initial.SQL,TestData\DispatchDiskDrive\026\input.message.json,TestData\DispatchDiskDrive\026\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\026\expected.FailureBlob,TestData\DispatchDiskDrive\026\expected.logs.txt,,,,
27,TestData\DispatchDiskDrive\027\initial.SQL,TestData\DispatchDiskDrive\027\input.message.json,TestData\DispatchDiskDrive\027\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\027\expected.FailureBlob,TestData\DispatchDiskDrive\027\expected.logs.txt,,,,
28,TestData\DispatchDiskDrive\028\initial.SQL,TestData\DispatchDiskDrive\028\input.message.json,TestData\DispatchDiskDrive\028\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\028\expected.FailureBlob,TestData\DispatchDiskDrive\028\expected.logs.txt,,,,
29,TestData\DispatchDiskDrive\029\initial.SQL,TestData\DispatchDiskDrive\029\input.message.json,TestData\DispatchDiskDrive\029\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\029\expected.FailureBlob,TestData\DispatchDiskDrive\029\expected.logs.txt,,,,
30,TestData\DispatchDiskDrive\030\initial.SQL,TestData\DispatchDiskDrive\030\input.message.json,TestData\DispatchDiskDrive\030\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\030\expected.FailureBlob,TestData\DispatchDiskDrive\030\expected.logs.txt,,,,
31,TestData\DispatchDiskDrive\031\initial.SQL,TestData\DispatchDiskDrive\031\input.message.json,TestData\DispatchDiskDrive\031\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\031\expected.FailureBlob,TestData\DispatchDiskDrive\031\expected.logs.txt,,,,
32,TestData\DispatchDiskDrive\032\initial.SQL,TestData\DispatchDiskDrive\032\input.message.json,TestData\DispatchDiskDrive\032\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\032\expected.FailureBlob,TestData\DispatchDiskDrive\032\expected.logs.txt,,,,
33,TestData\DispatchDiskDrive\033\initial.SQL,TestData\DispatchDiskDrive\033\input.message.json,TestData\DispatchDiskDrive\033\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\033\expected.FailureBlob,TestData\DispatchDiskDrive\033\expected.logs.txt,,,,
34,TestData\DispatchDiskDrive\034\initial.SQL,TestData\DispatchDiskDrive\034\input.message.json,TestData\DispatchDiskDrive\034\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\034\expected.FailureBlob,TestData\DispatchDiskDrive\034\expected.logs.txt,,,,
35,TestData\DispatchDiskDrive\035\initial.SQL,TestData\DispatchDiskDrive\035\input.message.json,TestData\DispatchDiskDrive\035\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\035\expected.FailureBlob,TestData\DispatchDiskDrive\035\expected.logs.txt,,,,
36,TestData\DispatchDiskDrive\036\initial.SQL,TestData\DispatchDiskDrive\036\input.message.json,TestData\DispatchDiskDrive\036\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\036\expected.FailureBlob,TestData\DispatchDiskDrive\036\expected.logs.txt,,,,
37,TestData\DispatchDiskDrive\037\initial.SQL,TestData\DispatchDiskDrive\037\input.message.json,TestData\DispatchDiskDrive\037\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\037\expected.FailureBlob,TestData\DispatchDiskDrive\037\expected.logs.txt,,,,
38,TestData\DispatchDiskDrive\038\initial.SQL,TestData\DispatchDiskDrive\038\input.message.json,TestData\DispatchDiskDrive\038\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\038\expected.FailureBlob,TestData\DispatchDiskDrive\038\expected.logs.txt,,,,
39,TestData\DispatchDiskDrive\039\initial.SQL,TestData\DispatchDiskDrive\039\input.message.json,TestData\DispatchDiskDrive\039\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\039\expected.FailureBlob,TestData\DispatchDiskDrive\039\expected.logs.txt,,,,
40,TestData\DispatchDiskDrive\040\initial.SQL,TestData\DispatchDiskDrive\040\input.message.json,TestData\DispatchDiskDrive\040\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\040\expected.FailureBlob,TestData\DispatchDiskDrive\040\expected.logs.txt,,,,
41,TestData\DispatchDiskDrive\041\initial.SQL,TestData\DispatchDiskDrive\041\input.message.json,TestData\DispatchDiskDrive\041\core.DT_DISK_DRIVE.csv,TestData\DispatchDiskDrive\041\expected.FailureBlob,TestData\DispatchDiskDrive\041\expected.logs.txt,,,,
42,TestData\DispatchDiskDrive\042\initial.SQL,TestData\DispatchDiskDrive\042\input.message.json,,TestData\DispatchDiskDrive\042\expected.FailureBlob,TestData\DispatchDiskDrive\042\expected.logs.txt,,TestData\AppSettings_002.json,,
43,TestData\DispatchDiskDrive\043\initial.SQL,TestData\DispatchDiskDrive\043\input.message.json,,TestData\DispatchDiskDrive\043\expected.FailureBlob,TestData\DispatchDiskDrive\043\expected.logs.txt,,TestData\AppSettings_003.json,,
44,TestData\DispatchDiskDrive\044\initial.SQL,TestData\DispatchDiskDrive\044\input.message.json,,TestData\DispatchDiskDrive\044\expected.FailureBlob,TestData\DispatchDiskDrive\044\expected.logs.txt,,,StoreDiskDrive,
