No,in_InitializeSqlSet,in_Message,expected_TableData,expected_FailureBlobFileSet,expected_LogMessages,expected_WithoutError,in_AppSettings,error_Method,remarks
32,TestData\DispatchSoftVersion\032\initial.SQL,TestData\DispatchSoftVersion\032\input.message.json,TestData\DispatchSoftVersion\032\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\032\expected.FailureBlob,TestData\DispatchSoftVersion\032\expected.logs.txt,,,,
33,TestData\DispatchSoftVersion\033\initial.SQL,TestData\DispatchSoftVersion\033\input.message.json,TestData\DispatchSoftVersion\033\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\033\expected.FailureBlob,TestData\DispatchSoftVersion\033\expected.logs.txt,,,,
34,TestData\DispatchSoftVersion\034\initial.SQL,TestData\DispatchSoftVersion\034\input.message.json,TestData\DispatchSoftVersion\034\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\034\expected.FailureBlob,TestData\DispatchSoftVersion\034\expected.logs.txt,,,,
35,TestData\DispatchSoftVersion\035\initial.SQL,TestData\DispatchSoftVersion\035\input.message.json,TestData\DispatchSoftVersion\035\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\035\expected.FailureBlob,TestData\DispatchSoftVersion\035\expected.logs.txt,,,,
36,TestData\DispatchSoftVersion\036\initial.SQL,TestData\DispatchSoftVersion\036\input.message.json,TestData\DispatchSoftVersion\036\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\036\expected.FailureBlob,TestData\DispatchSoftVersion\036\expected.logs.txt,,,,
37,TestData\DispatchSoftVersion\037\initial.SQL,TestData\DispatchSoftVersion\037\input.message.json,TestData\DispatchSoftVersion\037\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\037\expected.FailureBlob,TestData\DispatchSoftVersion\037\expected.logs.txt,,,,
40,,TestData\DispatchSoftVersion\040\input.message.json,TestData\DispatchSoftVersion\040\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\040\expected.FailureBlob,TestData\DispatchSoftVersion\040\expected.logs.txt,,TestData\AppSettings_002.json,,
41,TestData\DispatchSoftVersion\041\initial.SQL,TestData\DispatchSoftVersion\041\input.message.json,TestData\DispatchSoftVersion\041\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\041\expected.FailureBlob,TestData\DispatchSoftVersion\041\expected.logs.txt,,TestData\AppSettings_003.json,,
42,TestData\DispatchSoftVersion\042\initial.SQL,TestData\DispatchSoftVersion\042\input.message.json,TestData\DispatchSoftVersion\042\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\042\expected.FailureBlob,TestData\DispatchSoftVersion\042\expected.logs.txt,,,,
43,TestData\DispatchSoftVersion\043\initial.SQL,TestData\DispatchSoftVersion\043\input.message.json,TestData\DispatchSoftVersion\043\core.DT_SOFT_VERSION.csv,TestData\DispatchSoftVersion\043\expected.FailureBlob,TestData\DispatchSoftVersion\043\expected.logs.txt,,,StoreSoftVersion,
